行政區名稱,"類別
（鄉鎮市區）","面積
（km²）","下轄村
里數",下轄鄰數,人口數,"人口密度
（人/km²）",郵遞區號 
基隆市仁愛區,區 (市),4.2335,29,536,43229,10220,200
基隆市中正區,區 (市),10.2118,26,517,51484,5042,202
基隆市信義區,區 (市),10.6706,20,412,52756,4944,201
基隆市中山區,區 (市),10.5238,24,520,46840,4450,203
基隆市安樂區,區 (市),18.025,25,636,82336,4568,204
基隆市暖暖區,區 (市),22.8283,13,280,38550,1689,205
基隆市七堵區,區 (市),56.2659,20,412,53737,955,206
臺北市中正區,區,7.6071,31,580,157743,20737,100
臺北市大同區,區,5.6815,25,521,125909,22159,103
臺北市中山區,區,13.6821,42,869,227266,16613,104
臺北市松山區,區,9.2878,33,759,204043,21968,105
臺北市大安區,區,11.3614,53,1022,307526,27071,106
臺北市萬華區,區,8.8522,36,723,186848,21108,108
臺北市信義區,區,11.2077,41,904,219744,19608,110
臺北市士林區,區,62.3682,51,995,283282,4542,111
臺北市北投區,區,56.8216,42,827,253155,4455,112
臺北市內湖區,區,31.5787,39,905,285526,9044,114
臺北市南港區,區,21.8424,20,452,120161,5501,115
臺北市文山區,區,31.509,43,1002,271674,8622,116
新北市板橋區,區,23.1373,126,2485,557120,24079,220
新北市新莊區,區,19.7383,84,1836,420684,21311,242
新北市中和區,區,20.144,93,2963,413067,20506,235
新北市永和區,區,5.7138,62,1243,220619,38611,234
新北市土城區,區,29.5578,47,1230,237762,8044,236
新北市樹林區,區,33.1288,42,1036,183906,5551,238
新北市三峽區,區,191.4508,28,606,116587,609,237
新北市鶯歌區,區,21.1248,20,433,86945,4116,239
新北市三重區,區,16.317,119,2523,386236,23671,241
新北市蘆洲區,區,7.4351,38,727,202026,27191,247
新北市五股區,區,34.8632,20,515,88165,2529,248
新北市泰山區,區,19.1603,17,456,78731,4109,243
新北市林口區,區,54.1519,17,428,116000,2142,244
新北市八里區,區,39.4933,10,189,39555,1003,249
新北市淡水區,區,70.6565,42,692,179036,2534,251
新北市三芝區,區,65.9909,13,254,22721,344,252
新北市石門區,區,51.2645,9,121,11816,226,253
新北市金山區,區,49.2132,15,201,21377,434,208
新北市萬里區,區,63.3766,10,186,21840,345,207
新北市汐止區,區,71.2354,50,1137,203621,2858,221
新北市瑞芳區,區,70.7336,34,418,39495,558,224
新北市貢寮區,區,99.9734,11,191,12006,120,228
新北市平溪區,區,71.3382,12,115,4533,64,226
新北市雙溪區,區,146.2484,12,228,8632,59,227
新北市新店區,區,120.2255,69,1482,303624,2526,231
新北市深坑區,區,20.5787,8,238,23714,1152,222
新北市石碇區,區,144.3498,12,107,7629,53,223
新北市坪林區,區,170.835,7,78,6698,39,232
新北市烏來區,原民區,321.1306,5,43,6434,20,233
桃園市桃園區,區,34.8046,76,1759,453275,13023,330
桃園市中壢區,區,76.52,85,1944,417671,5458,320
桃園市平鎮區,區,47.7532,46,1497,228519,4786,324
桃園市八德區,區,33.7111,48,1313,206409,6123,334
桃園市楊梅區,區,89.1229,41,973,173252,1944,326
桃園市蘆竹區,區,75.5025,39,680,166497,2205,338
桃園市大溪區,區,105.1206,28,673,95576,909,335
桃園市龍潭區,區,75.2341,31,897,124040,1649,325
桃園市龜山區,區,72.0177,32,850,163082,2265,333
桃園市大園區,區,87.3925,18,425,93087,1065,337
桃園市觀音區,區,87.9807,24,402,68034,773,328
桃園市新屋區,區,85.0166,23,270,49290,579,327
桃園市復興區,原民區,350.7775,10,125,12222,35,336
新竹市東區,區 (市),33.5768,53,1020,218054,6494,300
新竹市北區,區 (市),15.7267,45,790,152400,9689,300
新竹市香山區,區 (市),54.8491,24,375,78659,1434,300
